country_txt,region,eventid,attacktype1_txt,target1,nwound,nkill,killHurtRatio
United States,illinois,197001010002,Armed Assault,Cairo Police Headquarters,0,0,NA
United States,california,197001020002,Bombing/Explosion,Edes Substation,0,0,NA
United States,wisconsin,197001020003,Facility/Infrastructure Attack,"R.O.T.C. offices at University of Wisconsin, Madison",0,0,NA
United States,wisconsin,197001030001,Facility/Infrastructure Attack,Selective Service Headquarters in Madison Wisconsin,0,0,NA
United States,wisconsin,197001050001,Bombing/Explosion,Badger Army ammo depot.,0,0,NA
United States,colorado,197001060001,Facility/Infrastructure Attack,"Army Recruiting Station, Denver Colorado",0,0,NA
United States,michigan,197001090001,Facility/Infrastructure Attack,Packard Properties building of Detroit Michigan,0,0,NA
United States,puertorico,197001090002,Facility/Infrastructure Attack,Baker's Store,0,0,NA
United States,newyork,197001120001,Bombing/Explosion,James Madison High School,0,0,NA
United States,puertorico,197001120002,Bombing/Explosion,General Electric factory in Rio Grande Puerto Rico,0,0,NA
United States,washington,197001130001,Facility/Infrastructure Attack,"Fuson's Department Store, Seattle Washington",0,0,NA
United States,illinois,197001140001,Facility/Infrastructure Attack,Champaign Police Department,1,0,0
United States,washington,197001190002,Bombing/Explosion,"Liberal Arts and Garrand buildings, Seattle University",0,0,NA
United States,washington,197001190003,Bombing/Explosion,Air Force R.O.T.C. at the University of Washington,0,0,NA
United States,newjersey,197001190004,Facility/Infrastructure Attack,Headquarters,0,0,NA
United States,nebraska,197001220002,Bombing/Explosion,,0,0,NA
United States,mississippi,197001250001,Facility/Infrastructure Attack,Building used as a meeting place for African Americans.,0,0,NA
United States,newyork,197001250002,Armed Assault,New York Police Officers responding to a call in Harlem,2,0,0
United States,mississippi,197001260001,Bombing/Explosion,Clay County Courthouse,0,0,NA
United States,newyork,197001260003,Armed Assault,New York Police Officer on patrol in Forest Hills,0,0,NA
United States,ohio,197001270002,Facility/Infrastructure Attack,Selective Service office in Norwalk Ohio,0,0,NA
United States,washington,197001280002,Bombing/Explosion,Temple De Hirsch,0,0,NA
United States,nebraska,197001300001,Bombing/Explosion,,0,0,NA
United States,nebraska,197001300002,Bombing/Explosion,A & B Boat Shop,0,0,NA
United States,florida,197001300003,Facility/Infrastructure Attack,"Army R.O.T.C., University of Miami",0,0,NA
United States,colorado,197001310002,Bombing/Explosion,"Police Band Building, Denver Colorado",0,0,NA
United States,oregon,197002010001,Facility/Infrastructure Attack,Selective Service office Local Board No. 28 in Portland Oregon,0,0,NA
United States,illinois,197002010002,Armed Assault,Illinois State Police in the Pyramid Courts housing project,0,0,NA
United States,newyork,197002020001,Facility/Infrastructure Attack,Mays Department Store in Manhattan,0,0,NA
United States,newyork,197002030001,Facility/Infrastructure Attack,Alexander's Department Store in the Bronx,0,0,NA
United States,newyork,197002030002,Facility/Infrastructure Attack,Alexander's Department Store in Manhattan,0,0,NA
United States,ohio,197002040001,Bombing/Explosion,,0,0,NA
United States,colorado,197002060001,Bombing/Explosion,Denver City School Buses,0,0,NA
United States,washington,197002060002,Bombing/Explosion,Fred Dore,0,0,NA
United States,washington,197002060003,Bombing/Explosion,,0,0,NA
United States,puertorico,197002060004,Facility/Infrastructure Attack,Selective Service office in Dorado Puerto Rico,0,0,NA
United States,puertorico,197002060005,Facility/Infrastructure Attack,,0,0,NA
United States,puertorico,197002060006,Facility/Infrastructure Attack,San Juan Hotel,0,0,NA
United States,massachusetts,197002060007,Facility/Infrastructure Attack,"R.O.T.C. office, Boston University",0,0,NA
United States,wisconsin,197002070003,Facility/Infrastructure Attack,"Old Mail Hall, Wisconsin State College",0,0,NA
United States,newyork,197002080001,Bombing/Explosion,Queens General Electric Service Center,0,0,NA
United States,newyork,197002080002,Bombing/Explosion,Brooklyn General Electric Service Center,0,0,NA
United States,newyork,197002090003,Bombing/Explosion,General Electric Headquarters,0,0,NA
United States,ohio,197002090004,Bombing/Explosion,Leslie Jewel,0,0,NA
United States,michigan,197002110001,Facility/Infrastructure Attack,,0,0,NA
United States,california,197002130001,Bombing/Explosion,Police parking lot,7,0,0
United States,california,197002130003,Bombing/Explosion,Berkeley Police Station,7,0,0
United States,newyork,197002150001,Bombing/Explosion,"Chase Manhattan Bank, East Village Branch",0,0,NA
United States,oregon,197002150002,Facility/Infrastructure Attack,"R.O.T.C. storage area, University of Oregon",1,0,0
United States,california,197002160001,Bombing/Explosion,police station,0,1,Inf
United States,california,197002160002,Bombing/Explosion,department store,0,0,NA
United States,california,197002160003,Bombing/Explosion,department store,0,0,NA
United States,california,197002160004,Armed Assault,San Francisco Police Officers,0,0,NA
United States,california,197002170001,Bombing/Explosion,Walter Boysen Paint Company,0,0,NA
United States,maryland,197002170002,Bombing/Explosion,Power supply of the Frederick Maryland area,0,0,NA
United States,louisiana,197002170003,Bombing/Explosion,Covington High School,0,0,NA
United States,washington,197002170004,Bombing/Explosion,"Armory, University of Washington",0,0,NA
United States,ohio,197002180002,Bombing/Explosion,,0,0,NA
United States,california,197002180003,Bombing/Explosion,,0,0,NA
United States,connecticut,197002200001,Facility/Infrastructure Attack,United States District Court of Connecticut,0,0,NA
United States,newyork,197002200002,Facility/Infrastructure Attack,Columbia University International Law Library,0,0,NA
United States,washington,197002200003,Bombing/Explosion,"Construction site of Architecture School, University of Washington",0,0,NA
United States,newyork,197002210003,Facility/Infrastructure Attack,Charles Street Police Station,0,0,NA
United States,newyork,197002210004,Facility/Infrastructure Attack,Army Recruiting Booth and Navy Recruiting Booth,0,0,NA
United States,newyork,197002210005,Bombing/Explosion,Judge John Murtagh and family,0,0,NA
United States,colorado,197002210006,Facility/Infrastructure Attack,James C. Perrill,0,0,NA
United States,newyork,197002220001,Facility/Infrastructure Attack,Dormitory housing Black Women's Collective,0,0,NA
United States,wisconsin,197002220002,Bombing/Explosion,"Wisconsin Power and Light Company substation, Prairie du Sac",0,0,NA
United States,nebraska,197002230001,Bombing/Explosion,Power Transmission Pole in the Dakota City/Sioux City area,0,0,NA
United States,nebraska,197002230002,Bombing/Explosion,Power Transmission Pole in the Dakota City/Sioux City area,0,0,NA
United States,nebraska,197002230003,Bombing/Explosion,Power Transmission Pole in the Dakota City/Sioux City area,0,0,NA
United States,nebraska,197002230004,Bombing/Explosion,Power Transmission Pole in the Dakota City/Sioux City area,0,0,NA
United States,arizona,197002230005,Bombing/Explosion,"Selective Service Headquarters, Tucson Arizona.",0,0,NA
United States,colorado,197002240002,Bombing/Explosion,Wilfred Keyes,0,0,NA
United States,illinois,197002240003,Facility/Infrastructure Attack,"R.O.T.C., University of Illinois",0,0,NA
United States,colorado,197002270001,Bombing/Explosion,Institute of Behavioral Sciences,0,0,NA
United States,colorado,197003010005,Bombing/Explosion,Air Force R.O.T.C. at University of Colorado,0,0,NA
United States,colorado,197003010006,Facility/Infrastructure Attack,"Selective Service Headquarters, Colorado Springs",0,0,NA
United States,colorado,197003010007,Facility/Infrastructure Attack,Police Car,0,0,NA
United States,colorado,197003010008,Bombing/Explosion,Police Car,0,0,NA
United States,ohio,197003020001,Facility/Infrastructure Attack,Frank Schaeffer,0,0,NA
United States,colorado,197003030002,Bombing/Explosion,Foreign cars painted red,0,0,NA
United States,washington,197003030003,Bombing/Explosion,Post Office in Seattle's University District,0,0,NA
United States,california,197003040001,Bombing/Explosion,Oakland Army Base,0,0,NA
United States,california,197003040002,Bombing/Explosion,,0,0,NA
United States,colorado,197003040003,Bombing/Explosion,Foreign cars painted red,0,0,NA
United States,washington,197003050001,Bombing/Explosion,University District Post Office,0,0,NA
United States,colorado,197003050002,Bombing/Explosion,Foreign cars painted red,0,0,NA
United States,puertorico,197003050003,Assassination,Two members of the United States Navy,0,2,Inf
United States,michigan,197003060003,Bombing/Explosion,Detroit Police Department Building,0,0,NA
United States,michigan,197003060004,Bombing/Explosion,Detroit Police Officers Association,0,0,NA
United States,california,197003090001,Facility/Infrastructure Attack,Library,0,0,NA
United States,alabama,197003090003,Facility/Infrastructure Attack,Black Muslims,0,0,NA
United States,connecticut,197003090004,Facility/Infrastructure Attack,Shiloh Baptist Church,0,0,NA
United States,newmexico,197003090005,Bombing/Explosion,Air Force R.O.T.C. at University of New Mexico,0,0,NA
United States,maryland,197003090006,Bombing/Explosion,,0,2,Inf
United States,maryland,197003100002,Bombing/Explosion,Dorchester County Courthouse,0,0,NA
United States,california,197003100003,Facility/Infrastructure Attack,Office of S. I. Hayakawa,0,0,NA
United States,illinois,197003110002,Facility/Infrastructure Attack,"Army and Air Force Recruiting Station, University of Illinois",0,0,NA
United States,newyork,197003120001,Bombing/Explosion,general telephone and electronics,0,0,NA
United States,newyork,197003120002,Bombing/Explosion,IBM,0,0,NA
United States,illinois,197003120003,Bombing/Explosion,Chicago Police Car,0,0,NA
United States,illinois,197003120004,Bombing/Explosion,Chicago Police Car,0,0,NA
United States,newyork,197003120005,Bombing/Explosion,Mobil Oil Company Building,0,0,NA
United States,wisconsin,197003130001,Facility/Infrastructure Attack,R.O.T.C. at Lawrence University,0,0,NA
United States,wisconsin,197003130002,Facility/Infrastructure Attack,Appleton West High School,0,0,NA
United States,newyork,197003140003,Bombing/Explosion,Army Reserve Building,0,0,NA
United States,california,197003140004,Hijacking,SS Columbia Eagle,0,0,NA
United States,puertorico,197003150001,Bombing/Explosion,Kresge's Department Store,0,0,NA
United States,montana,197003150002,Bombing/Explosion,Billings Police car,0,0,NA
United States,california,197003160001,Facility/Infrastructure Attack,Norris Gregory,1,0,0
United States,california,197003170002,Bombing/Explosion,"Administration offices, Roosevelt High School",0,0,NA
United States,ohio,197003180001,Bombing/Explosion,Cincinnati Gas & Electric Company Booster Station,0,0,NA
United States,oregon,197003200001,Bombing/Explosion,United States Army Reserve Training Center in Portland Oregon,0,0,NA
United States,michigan,197003200002,Assassination,Burton I. Gordin,0,1,Inf
United States,districtofcolumbia,197003210001,Bombing/Explosion,President Richard Nixon,0,0,NA
United States,newyork,197003210002,Facility/Infrastructure Attack,Bloomingdale's Department Store,0,0,NA
United States,newyork,197003210003,Facility/Infrastructure Attack,Alexander's Department Store,1,0,0
United States,newyork,197003220001,Bombing/Explosion,"Nagler, Weissman & Company",0,0,NA
United States,newyork,197003220002,Bombing/Explosion,"Chase-Manhattan Bank, Bronx branch",0,0,NA
United States,newyork,197003220003,Bombing/Explosion,Electric  Circus,17,0,0
United States,florida,197003230001,Bombing/Explosion,Local 1765 Orlando Headquarters,0,0,NA
United States,newyork,197003240004,Bombing/Explosion,Joe's Restaurant,0,0,NA
United States,ohio,197003240005,Bombing/Explosion,The Thinker statue,0,0,NA
United States,california,197003240006,Bombing/Explosion,House of Police Officer,0,0,NA
United States,california,197003270001,Bombing/Explosion,San Francisco Police Officers frequenting Trovatore Tavern,0,0,NA
United States,illinois,197003300001,Facility/Infrastructure Attack,Selective Service office in Biggsville Illinois,0,0,NA
United States,georgia,197003300002,Facility/Infrastructure Attack,"Military courthouse, Fort Benning Georgia",0,0,NA
United States,districtofcolumbia,197003310003,Bombing/Explosion,Curtis W. Tarr,0,0,NA
United States,washington,197003310004,Bombing/Explosion,Jeeps owned by the University of Washington,0,0,NA
United States,michigan,197004010001,Bombing/Explosion,Michigan State University administration building,0,0,NA
United States,newyork,197004010002,Facility/Infrastructure Attack,Building housing Africana Studies and Research Center,0,0,NA
United States,texas,197004010003,Facility/Infrastructure Attack,Naval R.O.T.C. at Rice University,0,0,NA
United States,newyork,197004020002,Bombing/Explosion,"Chase-Manhattan Bank, Bronx branch",0,0,NA
United States,newyork,197004040001,Bombing/Explosion,"Banco de Ponce, Bronx Branch",0,0,NA
United States,newyork,197004040002,Bombing/Explosion,135th Street and Brook Avenues,0,0,NA
United States,washington,197004040003,Facility/Infrastructure Attack,Rogers Field Stadium,0,0,NA
United States,california,197004050004,Bombing/Explosion,Power line pole,0,0,NA
United States,california,197004050005,Facility/Infrastructure Attack,Barracks of American Potash and Chemical Company,0,0,NA
